k,c,freq,rms,variacao,mecanismo,oscilacao,amplitude_m,rms_harmonico,transmissibilidade
2000.0,200.0,0.1,0.013811,k,3,x,0.01,0.002696,5.122774480712166
2000.0,200.0,0.2,0.0294694,k,3,x,0.01,0.011463,2.570827881008462
2000.0,200.0,0.3,0.04777,k,3,x,0.01,0.024664,1.9368310087577036
2000.0,200.0,0.4,0.0710794,k,3,x,0.01,0.045022,1.5787703789258585
2000.0,200.0,0.5,0.0985422,k,3,x,0.01,0.069789,1.4120018914155525
2000.0,200.0,0.6,0.131211,k,3,x,0.01,0.099902,1.3133971291866027
2000.0,200.0,0.7,0.171483,k,3,x,0.01,0.137821,1.2442443459269632
2000.0,200.0,0.8,0.214544,k,3,x,0.01,0.177426,1.2092027098621398
2000.0,200.0,0.9,0.267802,k,3,x,0.01,0.22688,1.1803684767277856
2000.0,200.0,1.0,0.325108,k,3,x,0.01,0.279155,1.1646146406118465
2000.0,200.0,1.1,0.388658,k,3,x,0.01,0.33664,1.154521150190114
2000.0,200.0,1.2,0.463127,k,3,x,0.01,0.403739,1.1470950292144182
2000.0,200.0,1.3,0.53764,k,3,x,0.01,0.469748,1.1445285557362672
2000.0,200.0,1.4,0.625807,k,3,x,0.01,0.54827,1.1414211975851314
2000.0,200.0,1.5,0.716864,k,3,x,0.01,0.628098,1.141325079844228
2000.0,200.0,1.6,0.812832,k,3,x,0.01,0.712912,1.1401575510020872
2000.0,200.0,1.7,0.922339,k,3,x,0.01,0.809216,1.1397933308288515
2000.0,200.0,1.8,1.0275,k,3,x,0.01,0.901631,1.13960145558438
2000.0,200.0,1.9,1.14778,k,3,x,0.01,1.009191,1.137326829113617
2000.0,200.0,2.0,1.26959,k,3,x,0.01,1.116618,1.1369958213104212
2000.0,200.0,2.1,1.39255,k,3,x,0.01,1.228716,1.1333375653934676
2000.0,200.0,2.2,1.53121,k,3,x,0.01,1.354252,1.1306684428008966
2000.0,200.0,2.3,1.66046,k,3,x,0.01,1.473076,1.1272059282752553
2000.0,200.0,2.4,1.80455,k,3,x,0.01,1.609644,1.1210864017136708
2000.0,200.0,2.5,1.94963,k,3,x,0.01,1.744716,1.1174483411626879
2000.0,200.0,2.6,2.09089,k,3,x,0.01,1.884053,1.1097830050428517
2000.0,200.0,2.7,2.25009,k,3,x,0.01,2.038847,1.1036090496246163
2000.0,200.0,2.8,2.39571,k,3,x,0.01,2.184083,1.0968951271540504
2000.0,200.0,2.9,2.55513,k,3,x,0.01,2.349628,1.0874615045445493
2000.0,200.0,3.0,2.71644,k,3,x,0.01,2.512391,1.0812170557847087
2000.0,200.0,3.1,2.86933,k,3,x,0.01,2.678924,1.071075551228777
2000.0,200.0,3.2,3.04269,k,3,x,0.01,2.862999,1.062763207391969
2000.0,200.0,3.3,3.19995,k,3,x,0.01,3.034651,1.0544705140722934
2000.0,200.0,3.4,3.36994,k,3,x,0.01,3.229143,1.0436019711731566
2000.0,200.0,3.5,3.54399,k,3,x,0.01,3.419643,1.0363625676715376
2000.0,200.0,3.6,3.70612,k,3,x,0.01,3.613328,1.0256804807091966
2000.0,200.0,3.7,3.8916,k,3,x,0.01,3.82671,1.0169571250499776
2000.0,200.0,3.8,4.06033,k,3,x,0.01,4.024783,1.0088320289565922
2000.0,200.0,3.9,4.24145,k,3,x,0.01,4.248188,0.9984139120020114
2000.0,200.0,4.0,4.43596,k,3,x,0.01,4.466473,0.9931684351388669
2000.0,200.0,4.1,4.27361,k,3,x,0.01,4.687267,0.9117487866596887
2000.0,200.0,4.2,4.72086,k,3,x,0.01,4.929977,0.9575825607299994
2000.0,200.0,4.3,4.93733,k,3,x,0.01,5.154477,0.9578721565737902
2000.0,200.0,4.4,5.03932,k,3,x,0.01,5.406764,0.9320399410812087
2000.0,200.0,4.5,5.14487,k,3,x,0.01,5.65288,0.9101325342126492
2000.0,200.0,4.6,5.27401,k,3,x,0.01,5.900739,0.8937880492595928
2000.0,200.0,4.7,5.45796,k,3,x,0.01,6.172801,0.8841950356086321
2000.0,200.0,4.8,5.64399,k,3,x,0.01,6.423734,0.8786151481365823
2000.0,200.0,4.9,5.86354,k,3,x,0.01,6.704869,0.8745196960596844
2000.0,200.0,5.0,6.09217,k,3,x,0.01,6.978864,0.8729457974822264
2000.0,200.0,5.1,6.31602,k,3,x,0.01,7.253746,0.8707252776703238
2000.0,200.0,5.2,6.56947,k,3,x,0.01,7.555182,0.86953166713919
2000.0,200.0,5.3,6.80049,k,3,x,0.01,7.832555,0.8682339287754762
