k,c,freq,rms,variacao,mecanismo,oscilacao,amplitude_m,rms_harmonico,transmissibilidade
2000.0,200.0,0.1,0.00455213,k,3,y,0.01,0.002696,1.6884755192878338
2000.0,200.0,0.2,0.0131232,k,3,y,0.01,0.011463,1.144831196021984
2000.0,200.0,0.3,0.0254232,k,3,y,0.01,0.024664,1.0307817061303925
2000.0,200.0,0.4,0.044916500000000005,k,3,y,0.01,0.045022,0.9976567011683178
2000.0,200.0,0.5,0.0694322,k,3,y,0.01,0.069789,0.9948874464457149
2000.0,200.0,0.6,0.10029099999999999,k,3,y,0.01,0.099902,1.0038938159396207
2000.0,200.0,0.7,0.140261,k,3,y,0.01,0.137821,1.0177041234644937
2000.0,200.0,0.8,0.182981,k,3,y,0.01,0.177426,1.0313088273421032
2000.0,200.0,0.9,0.23731300000000002,k,3,y,0.01,0.22688,1.0459846614950636
2000.0,200.0,1.0,0.295946,k,3,y,0.01,0.279155,1.0601493793770487
2000.0,200.0,1.1,0.36105,k,3,y,0.01,0.33664,1.0725106939163498
2000.0,200.0,1.2,0.438168,k,3,y,0.01,0.403739,1.0852753883077928
2000.0,200.0,1.3,0.5149239999999999,k,3,y,0.01,0.469748,1.096170712807718
2000.0,200.0,1.4,0.605957,k,3,y,0.01,0.54827,1.105216407974173
2000.0,200.0,1.5,0.700439,k,3,y,0.01,0.628098,1.1151747020369434
2000.0,200.0,1.6,0.7992,k,3,y,0.01,0.712912,1.1210359763897928
2000.0,200.0,1.7,0.912582,k,3,y,0.01,0.809216,1.1277359814931982
2000.0,200.0,1.8,1.0214,k,3,y,0.01,0.901631,1.1328359384271394
2000.0,200.0,1.9,1.1452799999999999,k,3,y,0.01,1.009191,1.134849597350749
2000.0,200.0,2.0,1.27178,k,3,y,0.01,1.116618,1.138957100816931
2000.0,200.0,2.1,1.39846,k,3,y,0.01,1.228716,1.138147464507665
2000.0,200.0,2.2,1.5422799999999999,k,3,y,0.01,1.354252,1.1388426969278982
2000.0,200.0,2.3,1.6764400000000002,k,3,y,0.01,1.473076,1.138053976848445
2000.0,200.0,2.4,1.82502,k,3,y,0.01,1.609644,1.1338034994073223
2000.0,200.0,2.5,1.9769599999999998,k,3,y,0.01,1.744716,1.1331127816790811
2000.0,200.0,2.6,2.12278,k,3,y,0.01,1.884053,1.1267092804714094
2000.0,200.0,2.7,2.28823,k,3,y,0.01,2.038847,1.1223157009819766
2000.0,200.0,2.8,2.44099,k,3,y,0.01,2.184083,1.1176269400018222
2000.0,200.0,2.9,2.605,k,3,y,0.01,2.349628,1.1086861409550788
2000.0,200.0,3.0,2.7738,k,3,y,0.01,2.512391,1.104047897003293
2000.0,200.0,3.1,2.93193,k,3,y,0.01,2.678924,1.0944431420973495
2000.0,200.0,3.2,3.11076,k,3,y,0.01,2.862999,1.0865389753890937
2000.0,200.0,3.3,3.27357,k,3,y,0.01,3.034651,1.0787303053959088
2000.0,200.0,3.4,3.4461,k,3,y,0.01,3.229143,1.0671871762879501
2000.0,200.0,3.5,3.6255,k,3,y,0.01,3.419643,1.0601983891300935
2000.0,200.0,3.6,3.7874,k,3,y,0.01,3.613328,1.0481749788560573
2000.0,200.0,3.7,3.9731300000000003,k,3,y,0.01,3.82671,1.0382626329144358
2000.0,200.0,3.8,4.14234,k,3,y,0.01,4.024783,1.0292082827819535
2000.0,200.0,3.9,4.31576,k,3,y,0.01,4.248188,1.0159060757198128
2000.0,200.0,4.0,4.50012,k,3,y,0.01,4.466473,1.0075332370754284
2000.0,200.0,4.1,4.664280000000001,k,3,y,0.01,4.687267,0.9950958628983585
2000.0,200.0,4.2,4.851030000000001,k,3,y,0.01,4.929977,0.9839863350275266
2000.0,200.0,4.3,5.021,k,3,y,0.01,5.154477,0.9741046472804127
2000.0,200.0,4.4,5.19435,k,3,y,0.01,5.406764,0.9607132843231182
2000.0,200.0,4.5,5.379980000000001,k,3,y,0.01,5.65288,0.9517237231287416
2000.0,200.0,4.6,5.540019999999999,k,3,y,0.01,5.900739,0.9388688433770752
2000.0,200.0,4.7,5.72653,k,3,y,0.01,6.172801,0.9277036470153501
2000.0,200.0,4.8,5.89663,k,3,y,0.01,6.423734,0.9179442984407512
2000.0,200.0,4.9,6.06384,k,3,y,0.01,6.704869,0.9043935086576634
2000.0,200.0,5.0,6.2493,k,3,y,0.01,6.978864,0.8954609231531092
2000.0,200.0,5.1,6.40782,k,3,y,0.01,7.253746,0.8833808076544175
2000.0,200.0,5.2,6.589519999999999,k,3,y,0.01,7.555182,0.8721854748171519
2000.0,200.0,5.3,6.75715,k,3,y,0.01,7.832555,0.8627006130183573
2000.0,200.0,5.4,6.921860000000001,k,3,y,0.01,8.142505,0.8500897451091526
2000.0,200.0,5.5,7.10429,k,3,y,0.01,8.444426,0.8412993375748689
2000.0,200.0,5.6,7.25621,k,3,y,0.01,8.746287,0.8296331917761217
2000.0,200.0,5.7,7.43566,k,3,y,0.01,9.077119,0.8191651998833551
2000.0,200.0,5.8,7.60072,k,3,y,0.01,9.38094,0.8102301048722196
2000.0,200.0,5.9,7.7567,k,3,y,0.01,9.719671,0.7980414151878187
2000.0,200.0,6.0,7.937410000000001,k,3,y,0.01,10.049564,0.7898263049023819
2000.0,200.0,6.1,8.08652,k,3,y,0.01,10.378363,0.77917105038627
2000.0,200.0,6.2,8.25837,k,3,y,0.01,10.738612,0.7690351415993053
2000.0,200.0,6.3,8.41985,k,3,y,0.01,11.06889,0.7606769965190728
2000.0,200.0,6.4,8.572289999999999,k,3,y,0.01,11.436366,0.7495641535082035
2000.0,200.0,6.5,8.7464,k,3,y,0.01,11.79428,0.7415798166568879
2000.0,200.0,6.6,8.885710000000001,k,3,y,0.01,12.149974,0.7313357213768524
2000.0,200.0,6.7,9.04931,k,3,y,0.01,12.539661,0.7216550750454896
2000.0,200.0,6.8,9.183869999999999,k,3,y,0.01,12.896404,0.7121264191165226
2000.0,200.0,6.9,13.1569,k,3,y,0.01,13.29259,0.9897920570784173
2000.0,200.0,7.0,13.3638,k,3,y,0.01,13.678574,0.9769878058926318
2000.0,200.0,7.1,14.0477,k,3,y,0.01,14.06112,0.9990455952299675
2000.0,200.0,7.2,14.3983,k,3,y,0.01,14.480264,0.9943396059629852
2000.0,200.0,7.3,14.6344,k,3,y,0.01,14.863483,0.9845875290468593
2000.0,200.0,7.4,14.9854,k,3,y,0.01,15.288343,0.9801847067402923
2000.0,200.0,7.5,15.3856,k,3,y,0.01,15.702444,0.9798219945888679
2000.0,200.0,7.6,15.8437,k,3,y,0.01,16.111802,0.9833598997802977
2000.0,200.0,7.7,16.3458,k,3,y,0.01,16.560422,0.9870400645587414
2000.0,200.0,7.8,16.8106,k,3,y,0.01,16.970129,0.9905994232571833
2000.0,200.0,7.9,17.3149,k,3,y,0.01,17.423625,0.9937599093185259
2000.0,200.0,8.0,17.7758,k,3,y,0.01,17.865892,0.9949573186718021
2000.0,200.0,8.1,18.2342,k,3,y,0.01,18.302019,0.996294452541001
2000.0,200.0,8.2,18.7064,k,3,y,0.01,18.780134,0.9960738299311388
2000.0,200.0,8.3,19.1299,k,3,y,0.01,19.21634,0.9955017448692103
2000.0,200.0,8.4,19.5991,k,3,y,0.01,19.698435,0.9949572136060555
2000.0,200.0,8.5,20.032,k,3,y,0.01,20.168918,0.9932114355366013
2000.0,200.0,8.6,20.4739,k,3,y,0.01,20.631772,0.9923481124161317
2000.0,200.0,8.7,20.9406,k,3,y,0.01,21.1394,0.9905957595769038
2000.0,200.0,8.8,21.3641,k,3,y,0.01,21.602117,0.9889817743325805
2000.0,200.0,8.9,21.8427,k,3,y,0.01,22.112774,0.9877865165175568
2000.0,200.0,9.0,22.2865,k,3,y,0.01,22.61152,0.9856259110400363
2000.0,200.0,9.1,22.7433,k,3,y,0.01,23.101062,0.9845131795239545
2000.0,200.0,9.2,23.2276,k,3,y,0.01,23.63822,0.9826289796778268
2000.0,200.0,9.3,23.6666,k,3,y,0.01,24.127461,0.9808989018778229
2000.0,200.0,9.4,24.1648,k,3,y,0.01,24.66664,0.9796551131406628
2000.0,200.0,9.5,24.6255,k,3,y,0.01,25.1937,0.9774467426380404
2000.0,200.0,9.6,25.1,k,3,y,0.01,25.709888,0.9762780763572366
2000.0,200.0,9.7,25.6032,k,3,y,0.01,26.276592,0.9743729323802721
2000.0,200.0,9.8,26.0584,k,3,y,0.01,26.792372,0.9726051877750875
2000.0,200.0,9.9,26.5764,k,3,y,0.01,27.360035,0.9713584065225063
2000.0,200.0,10.0,27.0541,k,3,y,0.01,27.915457,0.9691440838672281
2000.0,200.0,10.1,27.5476,k,3,y,0.01,28.458251,0.9680004579339749
2000.0,200.0,10.2,28.0711,k,3,y,0.01,29.054518,0.9661526651380002
2000.0,200.0,10.3,28.5443,k,3,y,0.01,29.596851,0.9644370612265474
2000.0,200.0,10.4,29.0848,k,3,y,0.01,30.192957,0.963297500142169
2000.0,200.0,10.5,29.5827,k,3,y,0.01,30.776791,0.9612015755638721
2000.0,200.0,10.6,30.0983,k,3,y,0.01,31.346151,0.9601912528271812
2000.0,200.0,10.7,30.6456,k,3,y,0.01,31.971995,0.9585138493860018
2000.0,200.0,10.8,31.1403,k,3,y,0.01,32.540897,0.9569588693268043
2000.0,200.0,10.9,31.7065,k,3,y,0.01,33.165406,0.9560112124060837
2000.0,200.0,11.0,32.2272,k,3,y,0.01,33.777703,0.9540968490367744
2000.0,200.0,11.1,32.7674,k,3,y,0.01,34.373588,0.95327261151789
2000.0,200.0,11.2,33.3405,k,3,y,0.01,35.029025,0.9517964031256937
2000.0,200.0,11.3,33.858000000000004,k,3,y,0.01,35.624512,0.950413018990969
2000.0,200.0,11.4,34.4509,k,3,y,0.01,36.277382,0.9496523205560973
2000.0,200.0,11.5,34.9952,k,3,y,0.01,36.918192,0.9479120754342466
2000.0,200.0,11.6,35.5601,k,3,y,0.01,37.540562,0.9472447428996933
2000.0,200.0,11.7,36.1586,k,3,y,0.01,38.225606,0.9459261417595316
2000.0,200.0,11.8,36.6988,k,3,y,0.01,38.847696,0.9446840811357256
2000.0,200.0,11.9,37.3177,k,3,y,0.01,39.528885,0.9440615387962499
2000.0,200.0,12.0,37.8844,k,3,y,0.01,40.198258,0.9424388489670372
2000.0,200.0,12.1,38.4733,k,3,y,0.01,40.847074,0.9418863147945432
2000.0,200.0,12.2,39.0963,k,3,y,0.01,41.561738,0.940680103416272
2000.0,200.0,12.3,39.6579,k,3,y,0.01,42.210449,0.9395280301330128
2000.0,200.0,12.4,40.302,k,3,y,0.01,42.919915,0.9390046555311211
2000.0,200.0,12.5,40.8908,k,3,y,0.01,43.617901,0.9374774820090493
2000.0,200.0,12.6,41.5029,k,3,y,0.01,44.293124,0.9370054819343968
2000.0,200.0,12.7,42.15,k,3,y,0.01,45.03742,0.9358884234487678
2000.0,200.0,12.8,42.7332,k,3,y,0.01,45.712771,0.9348197246673146
2000.0,200.0,12.9,43.4026,k,3,y,0.01,46.45047,0.9343845175301778
2000.0,200.0,13.0,44.0132,k,3,y,0.01,47.177122,0.9329352477245221
2000.0,200.0,13.1,44.6494,k,3,y,0.01,47.878712,0.9325522374119003
2000.0,200.0,13.2,45.3212,k,3,y,0.01,48.652653,0.9315257690058546
2000.0,200.0,13.3,45.9262,k,3,y,0.01,49.354663,0.9305341624964596
2000.0,200.0,13.4,46.6216,k,3,y,0.01,50.120552,0.9301892764469154
2000.0,200.0,13.5,47.2549,k,3,y,0.01,50.87592,0.92882644677482
2000.0,200.0,13.6,47.915,k,3,y,0.01,51.603839,0.9285161904330412
2000.0,200.0,13.7,48.6114,k,3,y,0.01,52.407436,0.9275668437585843
2000.0,200.0,13.8,49.2384,k,3,y,0.01,53.136126,0.9266464024870763
2000.0,200.0,13.9,49.9588,k,3,y,0.01,53.93016,0.9263610565961606
2000.0,200.0,14.0,50.6131,k,3,y,0.01,54.714295,0.9250434461414517
2100.0,200.0,0.1,0.00455844,k,3,y,0.01,0.002696,1.6908160237388725
2100.0,200.0,0.2,0.013131899999999998,k,3,y,0.01,0.011463,1.145590159644072
2100.0,200.0,0.3,0.0254291,k,3,y,0.01,0.024664,1.0310209211806682
2100.0,200.0,0.4,0.0449023,k,3,y,0.01,0.045022,0.9973412998089822
2100.0,200.0,0.5,0.06937230000000001,k,3,y,0.01,0.069789,0.9940291449941969
2100.0,200.0,0.6,0.100163,k,3,y,0.01,0.099902,1.002612560309103
2100.0,200.0,0.7,0.140025,k,3,y,0.01,0.137821,1.0159917574244854
2100.0,200.0,0.8,0.18262799999999998,k,3,y,0.01,0.177426,1.0293192654966012
2100.0,200.0,0.9,0.236839,k,3,y,0.01,0.22688,1.0438954513399155
2100.0,200.0,1.0,0.295336,k,3,y,0.01,0.279155,1.057964213429815
2100.0,200.0,1.1,0.36039699999999997,k,3,y,0.01,0.33664,1.070570936311787
2100.0,200.0,1.2,0.43747700000000006,k,3,y,0.01,0.403739,1.0835638865702844
2100.0,200.0,1.3,0.514316,k,3,y,0.01,0.469748,1.0948764018154415
2100.0,200.0,1.4,0.605603,k,3,y,0.01,0.54827,1.104570740693454
2100.0,200.0,1.5,0.700362,k,3,y,0.01,0.628098,1.115052109702626
2100.0,200.0,1.6,0.799736,k,3,y,0.01,0.712912,1.1217878223399242
2100.0,200.0,1.7,0.9138129999999999,k,3,y,0.01,0.809216,1.1292572069756404
2100.0,200.0,1.8,1.0235100000000001,k,3,y,0.01,0.901631,1.1351761419028408
2100.0,200.0,1.9,1.14866,k,3,y,0.01,1.009191,1.1381988146941462
2100.0,200.0,2.0,1.2764,k,3,y,0.01,1.116618,1.14309459457039
2100.0,200.0,2.1,1.40476,k,3,y,0.01,1.228716,1.1432747681319362
2100.0,200.0,2.2,1.55041,k,3,y,0.01,1.354252,1.1448460109344494
2100.0,200.0,2.3,1.6865,k,3,y,0.01,1.473076,1.1448832239477122
2100.0,200.0,2.4,1.8374700000000002,k,3,y,0.01,1.609644,1.1415381289278872
2100.0,200.0,2.5,1.99168,k,3,y,0.01,1.744716,1.1415496848770803
2100.0,200.0,2.6,2.14017,k,3,y,0.01,1.884053,1.1359393817477534
2100.0,200.0,2.7,2.30843,k,3,y,0.01,2.038847,1.132223261480631
2100.0,200.0,2.8,2.46391,k,3,y,0.01,2.184083,1.1281210466818339
2100.0,200.0,2.9,2.63116,k,3,y,0.01,2.349628,1.1198198182861288
2100.0,200.0,3.0,2.80291,k,3,y,0.01,2.512391,1.1156344693162807
2100.0,200.0,3.1,2.96424,k,3,y,0.01,2.678924,1.1065039545728061
2100.0,200.0,3.2,3.14649,k,3,y,0.01,2.862999,1.0990188959199776
2100.0,200.0,3.3,3.31238,k,3,y,0.01,3.034651,1.0915192554267361
2100.0,200.0,3.4,3.48844,k,3,y,0.01,3.229143,1.0802990143205178
2100.0,200.0,3.5,3.67115,k,3,y,0.01,3.419643,1.0735477358309038
2100.0,200.0,3.6,3.8363699999999996,k,3,y,0.01,3.613328,1.0617275818857297
